,player,season_1,had_major_injury_90,season_x,last_season,season_y,nation,pos,age,born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG90,_merge,Unnamed: 0_y,short_name,long_name,player_positions,height_cm,weight_kg,work_rate,body_type,pace,shooting,passing,dribbling,defending,physic,movement_acceleration,movement_sprint_speed,movement_reactions,movement_balance,power_stamina,power_strength,season_2,matched_short_name
1831,Fernando,23/24,False,23/24,22/23,22/23,BRA,"MF,DF",35.0,1987.0,22.0,19.0,1577,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,both,1315.0,F. Tissone,Fernando Damián Tissone Rodrigues,"CDM, CM",180.0,77.0,Medium/Medium,Normal (170-185),66.0,66.0,70.0,69.0,67.0,78.0,67.0,65.0,77.0,62.0,85.0,76.0,23/24,Fernando
1832,Fernando,23/24,False,23/24,22/23,22/23,BRA,"MF,DF",35.0,1987.0,22.0,19.0,1577,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,both,1927.0,Soriano,Fernando Soriano Marcos,CAM,189.0,81.0,High/Low,Normal (185+),49.0,74.0,71.0,59.0,58.0,78.0,47.0,51.0,84.0,55.0,61.0,89.0,23/24,Fernando
1833,Fernando,23/24,False,23/24,22/23,22/23,BRA,"MF,DF",35.0,1987.0,22.0,19.0,1577,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,both,2270.0,Danilo Avelar,Danilo Fernando Avelar,LB,185.0,75.0,Medium/Medium,Normal (185+),71.0,49.0,63.0,68.0,70.0,75.0,68.0,74.0,69.0,64.0,79.0,74.0,23/24,Fernando
1834,Fernando,23/24,False,23/24,22/23,22/23,BRA,"MF,DF",35.0,1987.0,22.0,19.0,1577,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,both,4598.0,F. Aristeguieta,Fernando Luis Aristeguieta de Luca,ST,187.0,82.0,High/Medium,Lean (185+),53.0,71.0,51.0,63.0,39.0,77.0,53.0,53.0,58.0,59.0,78.0,79.0,23/24,Fernando
1835,Fernando,23/24,False,23/24,22/23,22/23,BRA,"MF,DF",35.0,1987.0,22.0,19.0,1577,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,both,16909.0,J. Quintero,Juan Fernando Quintero Paniagua,CAM,169.0,64.0,Medium/Low,Stocky (170-),76.0,72.0,80.0,84.0,28.0,45.0,78.0,75.0,66.0,90.0,55.0,39.0,23/24,Fernando
1836,Fernando,23/24,False,23/24,22/23,22/23,BRA,"MF,DF",35.0,1987.0,22.0,19.0,1577,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,both,29224.0,Deco,Fernando Pérez Quijada,CM,168.0,63.0,Medium/Medium,Normal (170-),65.0,43.0,56.0,64.0,57.0,47.0,68.0,63.0,53.0,88.0,63.0,36.0,23/24,Fernando
1837,Fernando,23/24,False,23/24,22/23,22/23,BRA,"MF,DF",35.0,1987.0,22.0,19.0,1577,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,both,34401.0,Marçal,Fernando Marçal de Oliveira,LB,178.0,72.0,Medium/Medium,Normal (170-185),79.0,59.0,66.0,74.0,69.0,74.0,82.0,77.0,79.0,71.0,85.0,70.0,23/24,Fernando
1838,Fernando,23/24,False,23/24,22/23,22/23,BRA,"MF,DF",35.0,1987.0,22.0,19.0,1577,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,both,34573.0,F. Amorebieta,Fernando Gabriel Amorebieta Mardaras,CB,191.0,84.0,Medium/High,Normal (185+),31.0,47.0,54.0,48.0,74.0,82.0,32.0,30.0,68.0,35.0,70.0,87.0,23/24,Fernando
1839,Fernando,23/24,False,23/24,22/23,22/23,BRA,"MF,DF",35.0,1987.0,22.0,19.0,1577,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,both,44206.0,Ferno Meireles,Fernando Elton Meireles Petri,"ST, CAM",171.0,70.0,Medium/High,Normal (170-185),65.0,64.0,52.0,62.0,26.0,50.0,62.0,68.0,70.0,75.0,65.0,52.0,23/24,Fernando
1840,Fernando,23/24,False,23/24,22/23,22/23,BRA,"MF,DF",35.0,1987.0,22.0,19.0,1577,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,both,45961.0,Hélton Carvalhal,Hélton Fernando Carvalhal Lima,ST,187.0,82.0,Medium/Low,Normal (185+),34.0,68.0,36.0,45.0,32.0,65.0,33.0,34.0,64.0,51.0,42.0,86.0,23/24,Fernando
